"","feature","g1_tag","g0_tag","g1_avg","g0_avg","g1_pct","g0_pct","log2FC","Pval","FDR","Zscore"
"9557","PAK2","Severe","NonSevere",0.323053199691596,0.308547336144117,0.259573374453868,0.260636259103105,0.0145058635474795,0.328078265954981,0.585784375088314,0.977992029996755
"8676","NDUFB6","Severe","NonSevere",0.0999742996658957,0.0854733614411652,0.0956052428681573,0.0812571866615562,0.0145009382247305,0.0591132447789305,0.22078834615997,1.88735015398591
"4998","FUT11","Severe","NonSevere",0.0758159856078129,0.0613261786124952,0.0699049087638139,0.0551935607512457,0.0144898069953177,0.0392905348876809,0.166669073260154,2.06113109617917
"4934","FRA10AC1","Severe","NonSevere",0.0531996915959908,0.0387121502491376,0.0493446414803392,0.0360291299348409,0.0144875413468531,0.0102023624235963,0.0616853450967087,2.56889412033931
"11478","RLIM","Severe","NonSevere",0.0968902595733745,0.0824070525105404,0.0853251092264199,0.0758911460329628,0.014483207062834,0.0713194593655002,0.251190382170148,1.80343796748877
"13057","SPDL1","Severe","NonSevere",0.0298123875610383,0.0153315446531238,0.0269853508095605,0.0134151015714833,0.0144808429079145,0.000334373761119099,0.0037617627429019,3.5871018351865
"773","APOL2","Severe","NonSevere",0.139809817527628,0.125335377539287,0.126445643793369,0.105787658106554,0.0144744399883408,0.150439926419775,0.396313675667273,1.43797930399308
"7190","LFNG","Severe","NonSevere",0.0485736314572089,0.0341126868532005,0.0457465947057312,0.0325795323878881,0.0144609446040085,0.00575748123641749,0.0392059355671148,2.76128272003541
"6833","KIF14","Severe","NonSevere",0.0259573374453868,0.0114986584898429,0.0210742739655616,0.0103487926408586,0.0144586789555439,0.000221248963974313,0.00265407196715914,3.69343053953067
"10675","PRPF38A","Severe","NonSevere",0.114109483423285,0.0996550402453047,0.102030326394243,0.0893062476044462,0.0144544431779798,0.0990565115355326,0.309107424716948,1.64944495400152
