,covid-555-1_NonVent,covid-555-2_Vent,covid-556_NonVent,covid-557_Vent,covid-558_Vent,covid-559_NonVent,covid-560_Vent,covid-561_NonVent
FAM118A,443,1117,70,666,531,215,108,158
FAM118B,93,182,52,246,121,115,77,94
FAM120A,1669,3088,733,3882,1817,1391,834,1988
FAM120AOS,368,697,229,964,467,371,209,387
FAM120B,219,543,131,629,366,249,122,181
FAM120C,58,86,31,148,60,68,27,43
FAM122A,87,276,50,301,127,106,71,82
FAM122B,229,439,167,622,227,262,123,211
FAM122C,49,41,28,112,36,42,17,52
FAM124A,13,19,13,22,9,8,9,12
FAM124B,12,29,4,12,9,11,8,18
FAM126A,233,689,139,812,429,246,192,295
FAM126B,428,756,200,1056,373,339,296,299
FAM127A,88,165,29,183,61,33,41,112
FAM127B,42,85,18,93,39,21,20,42
FAM127C,4,7,0,7,2,3,2,7
FAM129A,1699,3251,599,3654,1451,1125,1344,2511
FAM129B,266,684,100,566,291,354,283,475
FAM129C,103,277,342,308,71,23,44,133
FAM131A,43,76,19,68,25,14,26,59
FAM131B,10,18,1,14,7,5,4,6
FAM132A,5,7,0,5,4,0,1,1
FAM132B,3,4,2,7,6,1,28,2
FAM133A,1,4,0,7,0,5,2,4
FAM133B,126,173,80,322,78,97,78,130
FAM134A,518,952,228,1050,489,397,382,549
FAM134B,57,136,76,631,94,135,89,106
FAM134C,469,845,212,1342,465,411,313,445
FAM135A,64,129,32,104,94,70,28,115
FAM135B,8,11,0,8,13,4,4,11
FAM136A,297,628,224,896,446,260,189,270
FAM138A,5,4,0,3,0,2,1,7
FAM138B,2,2,0,1,1,0,1,2
FAM138D,4,3,3,1,1,0,2,10
FAM138E,2,1,0,4,3,1,0,1
FAM13A,184,243,116,416,163,183,244,137
FAM13A-AS1,60,71,40,133,29,39,42,62
FAM13B,430,738,206,1216,405,405,244,492
FAM13C,2,1,0,5,5,0,2,1
FAM149A,6,14,0,15,19,19,6,6
FAM149B1,89,225,67,322,168,98,66,108
FAM150B,4,5,3,11,3,14,1,5
FAM151A,2,3,0,2,1,1,3,1
FAM151B,41,92,11,60,31,20,12,49
FAM153A,34,43,81,279,20,72,34,13
FAM153B,38,37,70,252,28,80,42,25
FAM153C,6,8,17,90,4,46,10,2
FAM154A,2,2,0,2,4,1,1,1
FAM154B,2,3,4,8,3,2,4,5
FAM155A,5,6,3,10,6,4,9,10
FAM155A-IT1,2,2,1,1,0,0,3,2
FAM155B,0,0,0,2,3,1,0,2
FAM156A,39,65,9,55,32,45,15,39
FAM156B,101,239,66,276,99,113,47,162
FAM157A,27,52,16,42,23,15,26,38
FAM157B,39,70,32,62,19,33,49,116
FAM157C,66,110,36,99,49,31,62,125
FAM159A,33,66,54,251,31,58,17,19
FAM160A1,6,4,2,9,8,4,5,16
FAM160A2,141,327,77,268,116,127,62,171
FAM160B1,264,468,117,576,296,246,142,211
FAM160B2,178,247,115,354,152,168,56,122
FAM161A,14,38,28,106,42,13,8,22
FAM161B,17,45,13,80,31,27,14,15
FAM162A,110,244,81,391,192,125,87,109
FAM163A,3,0,0,3,1,0,1,2
FAM166A,3,0,1,4,7,1,4,3
FAM167A,12,17,16,19,17,6,6,12
FAM167B,1,1,1,0,1,0,0,1
FAM168A,340,536,121,685,244,263,161,332
FAM168B,391,960,319,1347,604,437,297,656
FAM169A,93,157,69,319,40,112,36,35
FAM169B,6,3,1,1,2,1,1,3
FAM170B,3,1,1,2,0,1,0,1
FAM170B-AS1,2,5,1,2,1,1,2,0
FAM171A1,22,81,23,116,84,43,27,14
FAM171A2,2,4,0,7,4,0,2,0
FAM171B,7,7,6,29,15,8,6,12
FAM172A,254,388,172,641,197,153,117,230
FAM173A,162,385,85,460,239,107,86,230
FAM173B,30,110,24,206,68,73,29,44
FAM174A,27,82,12,78,41,16,18,39
FAM174B,13,23,5,33,25,15,14,19
FAM175A,53,100,22,175,72,60,38,44
FAM175B,184,412,78,478,261,194,103,185
FAM177A1,222,402,123,694,266,199,124,221
FAM177B,9,18,15,17,3,1,0,11
FAM178A,402,812,252,1481,504,381,253,272
FAM178B,1,2,0,17,0,0,1,5
FAM179A,48,48,22,102,31,48,20,27
FAM179B,127,220,75,304,146,119,63,106
FAM180A,1,2,0,3,2,0,1,3
FAM180B,0,1,1,5,2,2,0,0
FAM181A-AS1,0,4,0,2,1,0,3,5
FAM182A,3,1,0,5,1,1,4,3
FAM182B,0,3,0,4,5,1,2,7
FAM183B,6,4,4,7,0,1,3,4
FAM183CP,3,5,0,3,0,0,1,3
FAM184A,10,16,27,186,20,37,27,12
FAM184B,1,2,1,0,1,0,1,1
FAM185A,25,45,17,73,24,21,13,19
FAM186A,8,14,6,15,8,5,7,13
FAM186B,3,0,6,3,1,8,3,4
FAM188A,90,179,63,238,109,93,41,89
FAM188B,11,19,4,8,5,1,2,13
FAM189A1,3,2,0,4,1,0,1,3
FAM189A2,3,5,2,7,2,2,1,3
FAM189B,102,203,33,224,76,78,49,86
FAM192A,568,1033,324,1367,545,500,387,604
FAM193A,424,649,216,938,386,324,212,259
FAM193B,387,649,217,789,369,254,169,252
FAM194A,1,0,0,2,1,2,2,2
FAM194B,5,4,4,6,7,3,1,4
FAM195A,94,251,49,355,156,123,83,205
FAM195B,2,17,1,20,5,4,5,14
FAM196A,14,6,2,3,7,3,1,8
FAM196B,14,14,6,18,4,5,15,11
FAM197Y2,6,3,3,5,2,3,2,1
FAM197Y3,6,3,1,3,1,3,2,5
FAM197Y6,1,3,0,5,3,0,1,5
FAM197Y7,1,0,1,6,1,0,0,1
FAM197Y8,17,15,5,16,5,4,8,14
FAM198A,2,0,0,5,2,4,2,1
FAM198B,721,1591,121,433,618,286,564,1123
FAM199X,345,735,245,1021,415,350,161,304
FAM19A1,9,26,2,9,8,4,4,0
FAM19A2,30,46,20,56,32,16,23,54
FAM19A4,1,2,0,0,0,1,0,3
FAM19A5,3,9,4,1,4,1,0,5
FAM200A,15,57,15,85,34,36,12,7
FAM200B,173,480,93,554,159,214,170,379
FAM201A,2,4,1,7,1,7,4,3
FAM203A,33,112,25,194,106,59,42,48
FAM203B,2,6,1,11,12,9,4,5
FAM204A,512,849,282,1177,425,374,344,599
FAM205A,0,2,0,1,3,4,0,1
FAM206A,93,240,50,305,143,114,88,135
FAM207A,116,206,43,323,153,99,50,85
FAM208A,1273,2273,600,3275,1355,1099,745,1119
FAM208B,477,949,319,1337,541,471,278,358
FAM209A,10,10,11,23,5,8,5,11
FAM209B,11,14,14,18,9,4,10,9
FAM20A,180,289,125,399,95,149,280,379
FAM20B,244,482,137,731,343,250,142,311
FAM20C,149,281,29,127,104,64,101,352
FAM210A,130,275,80,496,158,167,77,104
FAM210B,266,483,139,673,170,169,1095,378
FAM211A,15,43,10,54,11,21,17,22
FAM211A-AS1,183,403,130,820,292,255,158,378
FAM211B,7,10,1,14,10,7,4,5
FAM212A,11,34,11,51,34,21,4,20
FAM212B,74,141,33,121,46,61,31,117
FAM213A,62,68,41,143,55,48,13,48
FAM213B,39,69,32,133,33,43,19,33
FAM214A,348,669,266,956,438,273,154,189
FAM214B,175,341,32,309,159,101,193,229
FAM215A,1,1,1,4,5,5,2,1
FAM215B,33,44,29,71,21,16,18,23
FAM216A,49,107,30,134,67,35,24,48
FAM216B,2,4,0,1,3,3,0,1
FAM217A,2,1,3,8,0,2,0,3
FAM217B,310,688,166,877,343,335,257,241
FAM218A,5,12,2,6,5,5,1,4
FAM219A,71,171,38,220,90,73,48,82
FAM219B,179,390,98,569,191,185,88,134
FAM21A,781,1254,318,1723,561,543,456,716
FAM21B,571,946,287,1302,394,372,390,673
FAM21C,1166,1971,441,2317,789,718,644,1270
FAM21D,13,24,5,28,5,11,10,29
FAM220A,55,169,23,212,93,66,49,70
FAM221A,38,53,17,59,29,36,22,46
FAM221B,6,6,5,7,4,3,2,7
FAM222A,7,3,1,14,4,5,2,1
FAM222A-AS1,5,4,3,9,3,1,3,6
FAM222B,64,120,32,173,72,50,27,43
FAM224A,0,0,2,6,2,1,0,0
FAM224B,0,1,1,10,3,2,1,2
FAM225A,15,5,0,3,10,3,7,18
FAM225B,39,11,3,23,53,41,25,46
FAM226B,1,8,0,15,5,6,0,3
FAM227A,15,16,6,22,10,4,12,21
FAM227B,15,36,18,50,27,6,8,15
FAM228A,2,2,0,6,2,0,1,2
FAM228B,124,154,60,229,51,68,51,118
FAM229A,30,53,20,64,14,16,10,27
FAM229B,7,13,6,42,18,4,9,12
FAM230A,6,10,0,11,5,1,3,8
FAM230B,6,3,2,2,1,0,5,5
FAM230C,1,3,3,4,6,2,3,5
FAM231A,2,1,2,2,4,1,0,1
FAM231D,0,5,0,3,2,1,1,2
FAM24B,15,14,13,29,10,4,2,7
FAM26D,1,2,0,0,2,0,0,0
FAM26E,11,11,5,28,10,10,2,11
FAM26F,197,174,78,286,106,87,60,378
FAM27A,5,15,4,24,45,2,1,4
FAM27C,4,19,10,35,54,4,1,2
FAM27D1,2,0,2,4,4,1,1,4
FAM27E1,1,0,1,0,3,0,1,0
FAM27E2,1,2,1,6,5,1,2,0
FAM27E3,5,1,1,4,6,1,2,1
FAM32A,684,1301,246,1445,671,509,401,796
FAM35A,175,414,101,583,240,189,141,198
FAM3A,135,258,77,317,132,144,62,164
FAM3B,5,5,1,5,11,1,0,6
FAM3C,157,602,158,627,485,145,78,102
FAM41C,4,10,6,3,6,3,2,2
FAM43A,47,109,23,95,52,27,30,44
FAM45A,371,813,122,639,256,186,220,475
FAM46A,807,707,221,614,300,396,319,582
FAM46B,3,1,0,4,2,1,0,1
FAM46C,646,3714,646,3475,3620,971,4148,275
FAM47A,0,0,0,0,1,1,0,4
FAM47C,4,1,1,2,1,2,0,1
FAM47E,6,3,1,8,4,3,6,7
FAM47E-STBD1,20,132,17,80,85,30,26,13
FAM49A,742,1049,176,656,443,264,314,739
FAM49B,1648,2787,748,3240,1386,1362,1030,2302
FAM50A,453,826,222,1108,478,342,197,591
FAM50B,17,77,17,93,70,33,24,15
FAM53A,6,8,2,20,7,1,2,4
FAM53B,626,955,301,1318,446,390,248,509
FAM53B-AS1,6,7,4,2,3,1,1,2
FAM53C,219,290,105,406,232,128,146,228
FAM57A,4,5,4,31,9,12,4,14
FAM57B,8,4,1,6,1,5,5,12
FAM58A,121,235,52,340,121,96,91,131
FAM60A,192,403,150,815,243,171,182,216
FAM63A,70,138,34,201,89,124,58,122
FAM63B,263,566,216,788,282,294,168,168
FAM64A,4,9,4,23,10,3,11,1
FAM65A,127,247,55,222,88,82,54,196
FAM65B,2999,6990,1750,10069,3334,3460,2331,2966
FAM65C,31,37,28,103,35,35,23,29
FAM66A,1,0,0,0,1,0,0,0
FAM66B,10,3,4,7,8,4,2,9
FAM66C,12,13,5,18,10,3,3,14
FAM66D,0,1,2,5,2,2,0,2
FAM66E,1,1,1,4,1,1,0,1
FAM69A,84,312,59,337,304,126,50,25
FAM69B,11,14,3,21,9,2,0,15
FAM71B,0,4,1,4,4,1,7,3
FAM71C,0,0,0,1,5,1,1,1
FAM71D,53,91,30,106,37,22,23,43
FAM71E1,1,2,0,2,0,1,1,1
FAM71F1,2,1,0,2,3,3,0,1
FAM71F2,6,4,5,12,4,4,4,6
FAM72A,36,73,12,103,63,25,18,39
FAM72B,28,47,13,95,48,21,21,37
FAM72C,25,64,8,114,60,25,23,30
FAM72D,44,90,19,166,99,29,27,45
FAM73A,135,231,100,465,132,156,110,142
FAM73B,118,270,71,380,164,119,67,126
FAM74A4,1,1,0,3,0,0,2,5
FAM74A6,5,5,0,4,0,0,4,0
FAM76A,132,228,73,312,121,111,62,136
FAM76B,393,643,261,915,315,277,228,377
FAM78A,508,1219,250,1330,504,536,224,263
FAM78B,1,4,0,0,6,3,3,0
FAM81A,12,21,4,19,8,6,2,15
FAM81B,3,3,2,6,4,7,2,7
FAM83A,4,9,2,7,8,4,132,13
FAM83A-AS1,1,6,2,2,3,4,6,4
FAM83B,1,0,0,1,1,3,1,4
FAM83C,2,1,0,1,2,0,1,2
FAM83D,31,30,6,75,55,19,13,8
FAM83E,3,4,4,7,1,1,0,0
FAM83F,19,23,10,34,14,12,9,23
FAM83G,27,69,14,72,52,40,19,18
FAM83H,14,19,12,22,15,12,9,28
FAM83H-AS1,10,1,2,12,7,4,2,10
FAM84A,10,7,0,7,3,3,7,16
FAM84B,48,81,50,171,51,130,32,17
FAM85A,7,12,8,17,2,3,3,6
FAM85B,2,2,1,1,0,2,0,2
FAM86A,11,19,5,46,32,14,12,12
FAM86B1,7,6,3,6,10,5,4,3
FAM86B2,4,3,1,2,3,5,1,1
FAM86C1,19,56,12,45,34,26,12,11
FAM87A,2,1,0,6,2,1,2,3
FAM87B,14,12,4,8,2,5,1,0
FAM89A,51,125,26,142,62,68,41,114
FAM89B,205,446,80,562,195,126,117,270
FAM8A1,320,676,148,886,313,240,259,359
FAM90A1,4,3,3,10,8,6,4,7
FAM91A1,414,780,213,894,496,295,215,510
FAM92A1,18,50,12,78,19,20,19,39
FAM92B,0,5,2,5,0,4,2,2
FAM95B1,1,1,0,4,1,1,0,5
FAM96A,541,979,189,902,506,410,280,685
FAM96B,613,1323,259,1749,914,609,347,541
FAM98A,210,602,127,800,619,251,151,79
FAM98B,189,485,163,937,344,233,155,178
FAM98C,134,217,95,364,119,100,67,113
FAM99A,0,1,1,1,2,0,1,0
FAM9B,1,2,2,3,4,1,1,2
FAM9C,1,6,0,6,1,5,2,2
FAN1,59,132,67,254,136,142,53,49
FANCA,68,107,24,133,113,46,40,48
FANCB,18,52,20,101,40,31,13,32
FANCC,30,86,23,86,53,25,18,21
FANCD2,91,208,99,382,259,136,81,77
FANCD2OS,0,0,1,1,3,1,3,2
FANCE,27,56,10,107,63,20,17,23
FANCF,56,200,50,195,97,73,39,36
FANCG,34,106,32,156,95,60,15,21
FANCI,111,292,111,670,408,162,129,52
FANCL,67,105,22,142,88,39,19,70
FANCM,78,155,52,248,117,98,61,59
FANK1,6,9,3,12,10,2,3,12
FAP,8,4,0,2,1,0,3,7
FAR1,765,1763,261,1538,965,699,536,1021
FAR1-IT1,9,14,3,11,0,6,2,7
FAR2,121,275,37,222,142,100,125,117
FARP1,53,46,19,89,25,37,35,54
FARP1-AS1,4,0,0,7,3,5,1,1
FARP2,136,221,71,282,216,106,80,191
FARS2,66,136,33,280,139,82,45,56
FARSA,190,541,93,814,431,263,164,154
FARSB,134,338,122,503,380,173,76,103
FAS,357,669,121,754,265,298,255,278
FASLG,23,108,9,112,56,90,21,10
FASN,83,203,54,310,196,84,63,67
FASTK,127,286,73,432,214,125,84,128
FASTKD1,89,326,65,493,310,147,73,110
FASTKD2,111,285,69,309,226,163,96,94
FASTKD3,45,105,20,141,48,49,34,36
FASTKD5,333,334,145,451,257,150,138,261
FAT1,3,15,2,15,9,5,5,15
FAT2,10,12,2,10,13,7,9,17
FAT3,16,14,8,15,14,3,14,27
FAT4,13,16,13,34,12,34,5,14
FAU,5082,10276,3628,16585,5731,5402,3087,7000
FAXC,9,10,4,16,8,2,5,24
FAXDC2,56,33,29,156,69,118,304,61
FBF1,28,48,27,121,30,35,21,23
FBL,617,1356,534,3003,1098,695,489,1074
FBLIM1,4,2,1,10,2,16,0,10
FBLN1,3,4,1,12,4,2,6,9
FBLN2,7,3,5,19,10,7,0,7
FBLN5,5,34,10,38,8,36,11,13
FBLN7,25,40,21,105,12,58,31,24
FBN1,17,23,9,34,40,11,20,20
FBN2,224,382,39,130,109,137,165,198
FBN3,6,3,3,8,6,2,2,10
FBP1,411,724,77,561,239,260,448,625
FBP2,0,0,0,3,2,1,0,4
FBRS,344,545,187,779,273,230,203,369
FBRSL1,108,211,97,268,82,105,61,132
FBXL12,91,119,39,99,41,47,22,86
FBXL13,8,11,4,16,3,4,8,9
FBXL14,43,42,8,59,36,17,8,23
FBXL15,308,436,97,572,221,183,120,275
FBXL16,17,51,19,184,35,21,17,17
FBXL17,180,280,107,453,145,104,93,192
FBXL18,13,30,10,49,30,13,12,16
FBXL19,66,151,33,153,57,56,39,85
FBXL19-AS1,32,59,19,103,23,22,19,28
FBXL2,17,27,7,25,4,9,16,17
FBXL20,75,102,35,118,62,59,26,39
FBXL22,3,16,9,13,3,2,6,7
FBXL3,346,793,194,1121,326,322,219,314
FBXL4,116,270,81,341,170,94,94,119
FBXL5,1504,3093,484,2358,1416,955,910,2124
FBXL6,24,67,12,81,39,32,31,35
FBXL7,3,3,0,1,2,1,2,3
FBXL8,25,60,16,52,16,25,15,10
FBXO10,12,39,8,31,19,2,5,7
FBXO11,485,704,227,1072,440,401,222,431
FBXO15,14,5,6,14,6,1,3,7
FBXO16,7,22,4,25,32,0,3,8
FBXO17,3,4,4,4,5,4,4,6
FBXO18,385,969,231,912,874,472,205,346
FBXO2,12,31,11,104,31,27,7,7
FBXO21,168,407,121,597,218,198,110,174
FBXO22,79,214,45,207,140,110,48,55
FBXO24,2,2,1,5,3,3,3,4
FBXO25,173,282,112,490,168,155,97,228
FBXO27,2,14,2,9,3,1,1,6
FBXO28,153,395,67,355,245,179,128,145
FBXO3,218,324,191,545,204,185,105,149
FBXO30,101,225,31,230,130,115,88,76
FBXO31,106,179,63,288,127,120,64,59
FBXO32,234,281,208,613,116,275,122,94
FBXO33,536,630,316,1322,319,268,273,465
FBXO34,262,580,132,970,318,247,213,228
FBXO36,9,14,3,14,9,8,7,18
FBXO38,233,615,162,629,382,259,228,229
FBXO39,10,10,2,8,11,43,4,12
FBXO4,42,86,27,86,64,32,24,45
FBXO40,13,17,10,21,13,10,7,17
FBXO41,162,233,75,223,135,104,67,148
FBXO42,174,323,64,384,195,146,88,155
FBXO43,4,16,3,28,11,9,8,10
FBXO44,72,109,72,227,96,87,44,45
FBXO45,114,313,53,374,199,105,117,139
FBXO46,68,185,38,197,104,45,45,41
FBXO47,2,4,0,5,2,0,0,1
FBXO48,20,71,14,86,42,28,21,29
FBXO5,105,259,100,604,329,157,55,40
FBXO6,304,338,61,458,282,240,199,399
FBXO7,739,1072,398,1655,683,531,1261,680
FBXO8,57,150,15,130,78,72,20,30
FBXO9,665,1589,426,1887,718,537,749,805
FBXW10,5,4,4,12,3,2,5,4
FBXW11,305,623,164,785,420,282,188,347
FBXW12,0,3,0,6,6,1,2,2
FBXW2,545,1149,312,1318,647,561,386,536
FBXW4,121,195,94,303,112,124,61,94
FBXW5,931,1611,326,2096,814,554,462,944
FBXW7,908,1525,546,2229,909,679,396,749
FBXW8,57,132,53,194,105,72,42,62
FBXW9,6,4,3,17,5,2,2,3
FCAMR,2,1,0,1,2,0,1,2
FCAR,77,132,22,87,36,48,108,138
FCER1A,8,36,0,45,11,14,7,379
FCER1G,1822,3027,435,2235,988,932,1071,2756
FCER2,55,114,63,92,8,7,15,119
FCF1,231,446,123,633,307,253,112,193
FCGBP,59,91,8,62,19,70,5,25
FCGR1A,829,1043,114,1141,558,344,735,2250
FCGR1B,581,759,101,777,372,341,599,1654
FCGR2A,1498,1843,253,1135,795,402,858,2068
FCGR2B,65,187,67,224,223,86,27,58
FCGR3A,3112,4030,1023,3797,1474,2321,898,4702
FCGR3B,1056,1205,253,1453,467,679,679,1372
FCGRT,1379,2126,222,1414,582,676,580,2858
FCHO1,134,226,86,338,131,93,75,141
FCHO2,143,262,28,181,102,123,68,116
FCHSD1,90,124,51,142,92,72,45,54
FCHSD2,471,1149,371,1112,757,411,203,500
FCN1,11047,17200,1828,9327,5374,1805,3432,19563
FCN2,211,313,24,147,134,50,104,359
FCN3,2,7,0,2,2,0,1,1
FCRL1,73,353,340,331,74,5,30,131
FCRL2,62,178,171,230,186,26,38,39
FCRL3,354,613,350,1034,473,289,104,183
FCRL4,5,4,4,10,4,1,6,2
FCRL5,165,609,317,811,790,174,91,55
FCRL6,444,558,179,689,248,231,43,65
FCRLA,73,201,126,277,132,23,26,69
FCRLB,9,18,9,47,21,16,4,11
FDFT1,729,1127,216,1155,857,609,479,593
FDPS,153,259,53,330,235,132,120,142
FDX1,173,510,93,412,235,141,66,152
FDX1L,1,5,0,3,1,2,0,6
FDXACB1,36,45,20,67,35,29,22,24
FDXR,52,87,12,131,73,106,21,25
FECH,110,225,63,412,211,132,1083,156
FEM1A,1,1,3,9,4,2,2,3
FEM1B,691,1088,290,1324,683,514,316,528
FEM1C,218,354,122,412,239,175,115,261
FEN1,124,403,76,688,493,151,108,45
FENDRR,3,4,0,6,6,1,1,8
FER,206,286,74,360,191,115,61,191
FER1L6,5,1,0,3,1,2,1,9
FER1L6-AS1,4,0,0,2,1,0,2,0
FERMT1,5,3,0,7,3,5,1,11
FERMT2,5,9,2,4,6,9,3,6
FERMT3,1594,3014,537,2933,1549,1105,1001,2002
FES,776,1313,162,844,523,360,418,753
FETUB,0,3,0,1,2,0,0,1
FEZ1,77,121,38,108,44,32,9,44
FEZ2,236,461,84,402,198,154,140,312
FEZF1,3,2,3,4,1,3,6,3
FEZF1-AS1,0,1,0,2,1,4,0,5
FEZF2,0,1,2,1,1,1,1,3
FFAR2,246,226,32,246,114,219,375,452
FFAR3,4,6,4,10,3,6,5,23
FFAR4,11,33,1,21,9,13,8,16
FGA,4,5,1,4,1,2,3,5
FGB,1,2,1,1,2,0,1,1
FGD1,17,29,10,56,17,17,5,10
FGD2,778,1094,192,563,572,378,388,907
FGD3,738,1391,326,2226,771,898,394,678
FGD4,448,678,70,376,206,266,264,391
FGD5,7,7,2,14,21,7,5,11
FGD5-AS1,963,1716,462,2524,778,777,452,1043
FGD6,125,205,24,139,114,104,71,185
FGF1,2,3,1,3,0,2,1,2
FGF10,0,1,0,0,6,0,3,2
FGF10-AS1,2,0,1,2,1,0,1,1
FGF11,1,1,3,4,0,2,1,3
FGF12,16,19,4,20,8,15,7,18
FGF13,1,5,1,5,1,0,4,4
FGF14,2,7,2,4,1,1,2,10
FGF14-AS2,5,7,5,16,5,8,6,3
FGF14-IT1,0,3,1,3,3,2,0,5
FGF17,1,1,3,3,3,3,1,0
FGF18,1,3,0,6,2,1,1,3
FGF2,3,7,1,29,6,11,1,6
FGF20,5,3,1,2,1,3,2,10
FGF22,4,1,1,2,0,2,4,1
FGF23,106,333,149,322,244,114,50,75
FGF5,2,7,2,3,0,2,3,7
FGF7,10,14,4,28,6,2,4,17
FGF9,16,14,7,25,10,6,7,23
FGFBP1,2,4,1,2,3,0,3,0
FGFBP2,1520,1806,580,1971,642,763,181,408
FGFBP3,29,35,14,68,17,21,9,30
FGFR1,252,205,188,238,1189,299,106,69
FGFR1OP,36,87,33,147,54,44,31,49
FGFR1OP2,571,1579,356,2506,886,689,510,550
FGFR2,8,9,3,12,15,3,3,11
FGFR3,2,2,2,3,1,5,0,2
FGFR4,1,5,1,1,1,3,0,4
FGFRL1,36,43,10,56,28,26,12,40
FGGY,20,21,14,45,32,32,15,18
FGL1,0,1,1,0,0,0,0,2
FGL2,5008,6903,509,4225,2813,2543,1847,8949
FGR,3112,4912,584,2723,1730,1100,1373,3707
FH,156,363,95,437,382,193,119,171
FHAD1,19,39,10,24,7,15,7,14
FHDC1,13,18,4,24,13,6,16,9
FHIT,22,27,41,215,12,82,30,31
FHL1,45,76,29,217,103,40,19,60
FHL2,17,34,8,68,26,17,14,33
FHL3,96,155,13,133,106,96,59,175
FHOD1,312,511,109,581,217,175,156,255
FHOD3,8,8,1,13,13,6,3,2
FIBCD1,0,1,0,1,2,0,2,3
FIBIN,2,2,0,1,2,1,2,1
FIBP,468,865,167,858,530,385,355,531
FICD,60,160,41,193,125,61,34,57
FIG4,250,481,131,465,294,192,194,418
FIGF,1,0,1,1,0,0,0,2
FIGN,11,25,5,17,9,10,5,23
FIGNL1,55,165,49,335,136,85,42,24
FILIP1,10,18,11,27,9,13,11,14
FILIP1L,11,21,11,17,6,12,11,19
FIP1L1,350,763,202,1162,594,403,243,287
FIS1,396,797,230,1190,446,267,610,533
FITM1,6,2,1,11,4,2,9,4
FITM2,12,42,16,90,44,33,12,35
FIZ1,25,51,13,67,42,25,19,24
FJX1,1,2,2,3,1,0,1,3
FKBP10,8,5,2,5,3,6,1,4
FKBP11,244,696,160,715,679,176,60,76
FKBP14,50,108,47,215,113,66,25,28
FKBP15,1363,2486,352,2178,1164,978,899,1402
FKBP1A,868,1741,334,1727,933,628,604,1507
FKBP1B,25,52,9,46,19,14,26,38
FKBP1C,266,402,68,385,242,144,201,422
FKBP2,335,1017,286,1591,732,328,166,383
FKBP3,334,602,195,1093,432,324,149,310
FKBP4,105,248,49,825,337,255,50,105
FKBP5,2326,4635,749,2837,1536,2406,1860,1592
FKBP6,2,4,1,13,8,2,5,3
FKBP7,11,25,2,46,30,10,7,10
FKBP8,245,360,108,510,310,189,661,283
FKBP9,53,74,13,48,49,36,23,51
FKBPL,20,61,8,45,32,18,17,11
FKRP,86,142,51,194,74,42,46,74
FKSG48,0,2,1,2,0,0,1,2
FKTN,47,138,59,152,87,55,45,49
FLAD1,192,415,98,550,303,180,128,134
FLCN,95,199,48,275,102,90,106,85
FLG,8,6,7,11,12,3,8,8
FLG-AS1,5,8,3,6,0,6,4,10
FLG2,4,4,1,5,8,2,4,4
FLI1,1064,2303,504,2413,1164,1096,583,1031
FLII,1614,2778,500,2208,1641,1028,795,1699
FLJ00104,17,42,16,34,20,16,15,12
FLJ00273,0,1,1,1,2,0,0,1
FLJ20306,6,21,7,22,13,4,5,17
FLJ27365,6,18,2,31,10,5,3,13
FLJ45079,4,9,4,8,4,0,2,4
FLNA,6317,9433,2426,10641,6356,5301,3393,6613
FLNB,266,441,132,843,531,333,234,222
FLNB-AS1,6,8,5,15,3,4,2,8
FLNC,7,3,4,3,10,6,7,0
FLOT1,982,2025,449,2693,1279,742,652,1475
FLOT2,815,1532,350,1757,790,747,659,1061
FLRT1,1,1,0,3,1,0,3,7
FLRT2,8,11,3,14,6,4,10,14
FLRT3,7,9,2,4,6,3,5,3
FLT1,15,44,5,44,16,51,11,24
FLT3,271,469,36,74,124,134,33,78
FLT3LG,11,10,10,36,7,14,6,12
FLT4,5,6,2,27,9,14,0,7
FLVCR1,75,169,31,221,72,67,65,63
FLVCR1-AS1,35,51,13,32,56,10,17,38
FLVCR2,298,356,38,278,206,121,204,568
FLYWCH1,182,313,145,268,110,104,94,147
FLYWCH2,40,102,44,122,46,40,25,69
FMN1,370,535,43,366,159,253,148,144
FMN2,6,8,0,14,7,6,4,20
FMNL1,1256,1943,523,1613,1060,884,647,1297
FMNL2,148,142,20,96,89,49,53,172
FMNL3,168,353,148,526,192,255,87,151
FMO1,24,62,20,74,25,26,15,24
FMO2,6,3,0,2,4,0,5,6
FMO3,5,2,0,4,4,2,1,8
FMO4,16,24,8,11,22,20,5,13
FMO5,56,96,18,58,27,28,31,65
FMOD,1,0,0,7,5,0,2,5
FMR1,592,956,237,1435,539,571,334,497
FMR1-AS1,3,3,0,4,5,2,1,3
FMR1-IT1,0,4,0,12,2,1,1,0
FN1,25,72,23,75,37,27,13,51
FN3K,13,6,7,15,7,6,11,7
FN3KRP,110,300,88,498,162,150,50,91
FNBP1,2669,4524,1446,7152,2374,2201,1437,2991
FNBP1L,19,27,14,97,25,43,22,29
FNBP4,913,1777,710,2715,900,899,642,725
FNDC1,2,4,0,2,3,1,1,6
FNDC3A,608,1515,414,1689,1134,648,345,428
FNDC3B,976,2146,494,2088,1584,743,478,660
FNDC4,4,0,0,2,2,0,2,0
FNDC5,3,7,1,7,5,8,4,1
FNDC7,2,6,0,4,3,0,2,4
FNDC8,1,0,0,2,0,0,0,1
FNDC9,10,14,6,16,7,8,11,3
FNIP1,287,599,131,635,307,209,238,302
FNIP2,335,448,79,450,193,236,154,317
FNTA,364,888,230,1099,406,401,258,326
FNTB,32,81,14,84,40,28,24,40
FOCAD,58,195,42,193,166,79,33,54
FOLH1,5,4,0,0,2,4,2,6
