id,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
RPL31,2.606685757,-2.606685757,0.009199038,0.009199038,1.178753832,-1.178753832,1.036232061,0.992216336,0.044015725,-0.044015725
RPL32,-5.610220549,5.610220549,2.25E-08,2.25E-08,-2.735030302,2.735030302,2.728098279,2.805027908,-0.07692963,0.07692963
RPL34,-3.339495597,3.339495597,0.00085234,0.00085234,-1.568687408,1.568687408,2.601311757,2.647659351,-0.046347594,0.046347594
RPL34-AS1,NA,NA,NA,NA,NA,NA,0,0,0,0
RPL35,-2.984886261,2.984886261,0.002864595,0.002864595,-1.381445473,1.381445473,1.737061683,1.780624496,-0.043562813,0.043562813
RPL35A,-1.260391482,1.260391482,0.207649064,0.207649064,-0.407302778,0.407302778,2.126051062,2.143886545,-0.017835483,0.017835483
RPL36,-2.119603999,2.119603999,0.034143127,0.034143127,-0.911556578,0.911556578,2.207401439,2.237434512,-0.030033073,0.030033073
RPL36A,2.546831025,-2.546831025,0.010931373,0.010931373,1.146372022,-1.146372022,0.664172328,0.622084517,0.042087811,-0.042087811
RPL36AL,0.510334669,-0.510334669,0.609864615,0.609864615,0.139483096,-0.139483096,1.091008994,1.082371703,0.008637291,-0.008637291
RPL37,4.488200614,-4.488200614,7.50E-06,7.50E-06,2.164271057,-2.164271057,2.340461859,2.282641933,0.057819926,-0.057819926
RPL37A,2.184965896,-2.184965896,0.028987709,0.028987709,0.947941877,-0.947941877,1.603649132,1.567451732,0.0361974,-0.0361974
RPL38,4.81063752,-4.81063752,1.60E-06,1.60E-06,2.328865397,-2.328865397,1.320669275,1.243294172,0.077375104,-0.077375104
RPL39,-8.535616183,8.535616183,2.39E-17,2.39E-17,-4.196022485,4.196022485,2.834996196,2.940789329,-0.105793133,0.105793133
RPL39L,0.859757587,-0.859757587,0.389999919,0.389999919,0.139659623,-0.139659623,0.023514961,0.020507313,0.003007648,-0.003007648
RPL4,2.375149301,-2.375149301,0.01761771,0.01761771,1.052821234,-1.052821234,1.069389504,1.0272686,0.042120904,-0.042120904
RPL41,-5.056459172,5.056459172,4.59E-07,4.59E-07,-2.454234506,2.454234506,3.434336765,3.4925637,-0.058226935,0.058226935
RPL5,-4.462332732,4.462332732,8.44E-06,8.44E-06,-2.151287454,2.151287454,1.555092439,1.640008325,-0.084915885,0.084915885
RPL6,0.286363023,-0.286363023,0.774623825,0.774623825,0.377080669,-0.377080669,1.918108167,1.913650737,0.00445743,-0.00445743
RPL7,-2.669628856,2.669628856,0.007644303,0.007644303,-1.212734682,1.212734682,1.072844878,1.117856034,-0.045011156,0.045011156
RPL7A,-2.303214891,2.303214891,0.021346567,0.021346567,-1.013349851,1.013349851,2.038466451,2.075598419,-0.037131968,0.037131968
RPL7L1,2.494173386,-2.494173386,0.012685554,0.012685554,1.117852454,-1.117852454,0.095819479,0.078581557,0.017237922,-0.017237922
RPL8,-4.636397866,4.636397866,3.73E-06,3.73E-06,-2.240069206,2.240069206,2.064188416,2.134096788,-0.069908372,0.069908372
RPL9,-2.532324846,2.532324846,0.011387961,0.011387961,-1.138586294,1.138586294,1.769798017,1.808332037,-0.03853402,0.03853402
RPLP0,-9.293459111,9.293459111,2.99E-20,2.99E-20,-4.572294214,4.572294214,1.764592794,1.94094313,-0.176350337,0.176350337
RPLP1,-7.237065495,7.237065495,6.10E-13,6.10E-13,-3.551567524,3.551567524,3.114577182,3.204204421,-0.089627239,0.089627239
RPLP2,-1.044622011,1.044622011,0.296302475,0.296302475,-0.267532472,0.267532472,1.984406352,1.999636269,-0.015229917,0.015229917
RPN1,1.146408641,-1.146408641,0.251737148,0.251737148,0.334516602,-0.334516602,0.2406264,0.227682402,0.012943999,-0.012943999
RPN2,3.454910149,-3.454910149,0.000559505,0.000559505,1.629379039,-1.629379039,0.25992074,0.221087854,0.038832886,-0.038832886
RPP14,1.303996346,-1.303996346,0.192344141,0.192344141,0.434645227,-0.434645227,0.02104369,0.016861568,0.004182122,-0.004182122
RPP21,2.483475622,-2.483475622,0.013068104,0.013068104,1.112090957,-1.112090957,0.044423903,0.033267419,0.011156484,-0.011156484
RPP25,1.246458902,-1.246458902,0.212697323,0.212697323,0.398548546,-0.398548546,0.008893413,0.006380053,0.00251336,-0.00251336
RPP25L,3.550133539,-3.550133539,0.000390874,0.000390874,1.679588797,-1.679588797,0.045031589,0.029621674,0.015409914,-0.015409914
RPP30,1.449208544,-1.449208544,0.147398545,0.147398545,0.52382804,-0.52382804,0.048364643,0.041169502,0.007195141,-0.007195141
RPP38,1.863272597,-1.863272597,0.062529879,0.062529879,0.76693882,-0.76693882,0.03563221,0.02787624,0.00775597,-0.00775597
RPP40,1,-1,0.317357554,0.317357554,0.237550414,-0.237550414,0.000134749,0,0.000134749,-0.000134749
RPRD1A,2.497786887,-2.497786887,0.012554177,0.012554177,1.119865797,-1.119865797,0.039089881,0.028409396,0.010680485,-0.010680485
RPRD1B,0.971003022,-0.971003022,0.331634832,0.331634832,0.217701685,-0.217701685,0.025378545,0.021874467,0.003504078,-0.003504078
RPRD2,2.004677305,-2.004677305,0.045096835,0.045096835,0.847188494,-0.847188494,0.053655504,0.043370654,0.01028485,-0.01028485
RPS10,3.243300574,-3.243300574,0.001196182,0.001196182,1.518316585,-1.518316585,0.162378683,0.133062881,0.029315802,-0.029315802
RPS11,0.334817319,-0.334817319,0.737792261,0.737792261,0.318276938,-0.318276938,1.134607837,1.128805182,0.005802655,-0.005802655
RPS12,-3.64603767,3.64603767,0.000271841,0.000271841,-1.729128423,1.729128423,2.924774041,2.979637552,-0.054863511,0.054863511
RPS13,-4.781040142,4.781040142,1.85E-06,1.85E-06,-2.313861155,2.313861155,2.414377663,2.479904293,-0.06552663,0.06552663
RPS14,-1.893867418,1.893867418,0.058356945,0.058356945,-0.78435851,0.78435851,2.388956072,2.414868645,-0.025912573,0.025912573
RPS15,-0.927505892,0.927505892,0.353755895,0.353755895,-0.18759996,0.18759996,2.490217977,2.501319218,-0.011101241,0.011101241
RPS15A,-5.105549532,5.105549532,3.55E-07,3.55E-07,-2.479286828,2.479286828,2.498066637,2.57469175,-0.076625114,0.076625114
RPS16,1.711782932,-1.711782932,0.087063054,0.087063054,0.679532317,-0.679532317,1.550577644,1.522992869,0.027584775,-0.027584775
RPS17,1.47347488,-1.47347488,0.140747294,0.140747294,0.53848397,-0.53848397,0.138983279,0.126218201,0.012765078,-0.012765078
RPS18,-5.185155743,5.185155743,2.33E-07,2.33E-07,-2.520078392,2.520078392,2.505257256,2.585492675,-0.080235419,0.080235419
RPS19,-5.476682851,5.476682851,4.74E-08,4.74E-08,-2.668219925,2.668219925,2.602821659,2.675954068,-0.073132409,0.073132409
RPS19BP1,3.448372141,-3.448372141,0.000573008,0.000573008,1.625993063,-1.625993063,0.202473175,0.168273784,0.034199391,-0.034199391
RPS2,-0.107578378,0.107578378,0.91433752,0.91433752,-0.68397942,0.68397942,1.564004414,1.565895805,-0.001891391,0.001891391
RPS20,4.402694147,-4.402694147,1.11E-05,1.11E-05,2.120293952,-2.120293952,0.502470715,0.435594932,0.066875783,-0.066875783
RPS21,2.192721536,-2.192721536,0.028421037,0.028421037,0.952261615,-0.952261615,2.211215813,2.179543895,0.031671917,-0.031671917
RPS23,-4.872811158,4.872811158,1.17E-06,1.17E-06,-2.360791779,2.360791779,2.502408174,2.57972525,-0.077317076,0.077317076
RPS24,-2.634503686,2.634503686,0.008478967,0.008478967,-1.19380927,1.19380927,2.396289125,2.427934296,-0.031645171,0.031645171
RPS25,-3.768647536,3.768647536,0.00016774,0.00016774,-1.79312005,1.79312005,2.017431629,2.076440678,-0.059009049,0.059009049
RPS26,11.88097823,-11.88097823,1.08E-31,1.08E-31,5.827413598,-5.827413598,2.112797542,1.85202298,0.260774562,-0.260774562
RPS27,-2.372684715,2.372684715,0.017736111,0.017736111,-1.051463095,1.051463095,2.893633818,2.933078195,-0.039444377,0.039444377
