id,degree_.NonSevere,degree_.Severe,t_NonSevere,t_Severe,pval_NonSevere,pval_Severe,Z_NonSevere,Z_Severe,MeanAct.Aim_NonSevere,MeanAct.Aim_Severe,log2FC.MeanAct.Aim_NonSevere,log2FC.MeanAct.Aim_Severe
CAPN10.TF,24,51,-36.31640036,36.31640036,2.72E-228,2.72E-228,-16.11824994,16.11824994,-0.256368819,-0.174795264,-0.081573555,0.081573555
CAPN12.TF,25,50,-32.48624402,32.48624402,2.24E-190,2.24E-190,-14.70346754,14.70346754,-0.251103102,-0.174049486,-0.077053616,0.077053616
CAPN15.TF,8,53,2.06483539,-2.06483539,0.038979324,0.038979324,0.881327637,-0.881327637,-0.159439805,-0.167040455,0.00760065,-0.00760065
CAPN2.TF,9,15,3.506402951,-3.506402951,0.000460694,0.000460694,1.656745905,-1.656745905,1.448155436,1.38738878,0.060766655,-0.060766655
CAPN3.TF,28,70,-36.04687624,36.04687624,1.32E-230,1.32E-230,-16.20064485,16.20064485,-0.258147788,-0.191123197,-0.067024591,0.067024591
CAPN5.TF,38,60,-29.24022591,29.24022591,3.95E-161,3.95E-161,-13.5115827,13.5115827,-0.24469168,-0.184075982,-0.060615698,0.060615698
CAPN7.TF,2,56,59.34098311,-59.34098311,0.00E+00,0.00E+00,18.75968967,-18.75968967,0.861103081,-0.151580915,1.012683996,-1.012683996
CAPNS1.TF,13,44,10.59288992,-10.59288992,9.34E-26,9.34E-26,5.21344919,-5.21344919,0.740793136,0.601835761,0.138957375,-0.138957375
CAPRIN1.TF,7,17,99.22624737,-99.22624737,0.00E+00,0.00E+00,18.75968967,-18.75968967,1.125086569,-0.048933569,1.174020138,-1.174020138
CAPRIN2.TF,44,57,-40.89737279,40.89737279,6.03E-268,6.03E-268,-17.47601868,17.47601868,-0.242882831,-0.142996319,-0.099886512,0.099886512
CAPS.TF,34,65,-37.3743033,37.3743033,1.71E-240,1.71E-240,-16.54791104,16.54791104,-0.244020713,-0.161259968,-0.082760745,0.082760745
