,covid-555-1_NonSevere,covid-555-2_Severe,covid-556_NonSevere,covid-557_Severe,covid-558_Severe,covid-559_NonSevere,covid-560_Severe,covid-561_NonSevere
IGFBP4,38.6046025099999,40.7993982279999,20.12343096,55.918756316,27.192577776,30.092050223,10.952858555,36.3451883
IKBKG,34.163170165,36.9970178906999,17.6363636368,51.9801192816,24.5844930398,27.6200466198999,11.4741550691,31.1631701622999
IL10RA,348.40170935,497.94003533,114.16239312,687.76719562,300.47266305,182.38034188,455.41622583,299.25213658
IL12RB1,35.093457973,43.058504887,18.651869173,59.2383532220001,29.262188498,29.950934605,13.115926318,32.3878505
IL15,35.983529426,38.070765662,20.258823534,54.2795823549999,25.452436195,27.112941173,12.511600915,40.1294117730001
IL17RA,1374.03448269,1214.62686587,334.620689550001,876.98507472,513.328358399999,567.344827469999,317.2985075,2003.89655164
IL18R1,41.7657004700001,53.237623745,21.072463751,78.9826732599998,33.6695544290001,33.782608693,14.743811878,30.9371980249999
IL1B,212.118343207,38.583511771,51.609467467,51.8683083630001,26.300856534,75.9230769329999,10.547109206,326.840236696
IL2RB,574.62825287,642.01501491,213.15241641,702.00900906,323.759759680001,345.32342011,157.37237254,549.82527876
IL5RA,32.806859196,39.809766102,16.73465703,54.360122184,26.36317401,26.949458483,10.741607346,29.9025270740001
IL6,32.766315806,37.7521644759999,16.633684215,52.12012985,25.304112539,26.608421052,10.536796524,29.7368421199999
CXCL8,1699.95652148,3340.80952465001,425.434782599999,2191.14285841,1348.42857194,661.869564559998,870.714286109999,2630.65217378
ING1,31.3885869583,44.6176470571,16.6711956532,63.9310661769,29.1433823528,26.1277173919,11.8906249986,28.1739130405
INPPL1,256.62721893,281.486792424,65.62721894,193.879245259,120.316981138,103.177514787,66.147169832,348.43786982
IRAK4,58.7892644539998,163.387218035,32.007952302,227.13439852,94.3693608909999,50.355864832,40.304511282,50.1491053889999
ITGA5,53.0136986159999,685.949579791001,20.0993150600001,469.647058734999,293.563025189,37.2876712179999,172.638655445,41.8116438199997
ITGAM,1311.05405413,1095.057471,401.378378400001,832.011494020001,494.643677860003,623.729729779997,271.74712631,1795.56756764
ITGB1,300.526699189999,473.747267980001,111.9902912,680.99180341,310.188524630001,189.70145639,379.64207644,262.58009716
ITGB1BP1,35.827586213,80.2592975220001,18.202839757,123.959710753,54.945247932,29.0182555729999,43.088842977,33.908722102
ITGB2,589.01742916,611.11817176,240.0849673,798.083612110001,359.44370116,355.04139428,367.86064658,618.85403063
ITGB7,367.88555878,448.457013549999,133.493188,604.820512759999,289.01357479,215.96457774,404.15233793,345.11989096
JUN,360.0234375,1095.1188105,133.828125,1317.80197788,560.415840810001,193.5,2176.69306894,497.5546875
KIR2DL3,28.6566866257,42.4795737114,15.7445109775,57.6101243351001,28.3774422705,23.9999999988,11.4422735339,26.5289421162
KLRB1,160.465181078,218.846036584,63.643454033,249.379573181,112.222560973,103.685236765,55.422256093,100.09470751
KRT18,35.225206601,37.5846313850001,18.927685956,51.476635549,24.909657339,29.4628099199999,11.828660458,34.524793395
LAMP2,848.886792529999,1402.55714287,167.4150944,962.58571399,627.41428573,357.339622840001,357.657142720001,930.88679243
LAT2,1745.57692311,2004.95744662001,397.192307679999,1314.63829758001,816.702127650001,694.07692321,512.12765971,2352.1923078
LCN2,32.242950141,39.641182726,16.956616068,54.462793423,27.079510894,26.394793945,11.411824735,29.004338417
LGALS1,938.487179497,1024.807692313,279.051282061,1080.884615383,544.067307694,484.358974377,287.423076913999,1218.23076923
LGALS3,1639.63888892,2675.87096753999,359.3055556,1686.41935381,1084.2258062,602.63888871,708.903225710002,2253.86111112
LGALS9,757.421052599999,2832.93333324,128.05263166,1761.26666661,1179.0333334,354.93421044,726.666666640002,622.42105261
LILRB4,1190.06250001,2194.79487193,257.39583329,1455.20512859001,932.820513160003,442.60416661,558.358974599998,1633.02083336
LRIG1,32.463800903,44.005274269,17.325791859,63.68143461,27.9071729930001,29.217194574,11.904008451,30.871040737
LRP1,823.41538459,1776.90476198,198.44615385,1282.33333339,776.92857142,319.476923099999,467.21428577,1149.18461544
LY9,31.8648648329999,437.063768114,17.021021004,531.391304348,213.863768133,26.6096095829998,117.82898551,28.4564564279999
LY96,36.3255033319999,106.348968097,16.728187905,89.7579737610001,49.3470919620001,25.335570456,27.262664179,41.107382539
LYAR,43.6742081465003,83.3741429949999,22.9660633499,125.0421155716,55.1253672878002,36.2624434401001,22.0910871690999,37.5610859754002
LYN,494.370106747,840.714285810999,155.327402132,603.518797159,382.721804621,243.704626332,221.323308285,654.754448409
MANF,99.9463601499999,292.407170283,51.743295012,414.172855313999,240.072983346,84.522988498,71.746478876,83.2816091829998
MAPK9,35.5363636365,72.3594771247999,18.5309090903,98.2063492047999,45.7152194212,27.5054545461001,19.1363211951,34.4727272718001
MARCO,1423.41176432,869.929292420003,298.64705849,562.585857790002,366.595958940001,519.61764647,218.9191918,2066.9411764
MDK,36.792452852,40.9768844740001,20.427672949,56.2361809610002,26.74070354,29.767295597,11.244221138,35.557651995
MERTK,30.486284291,44.838745809,15.773067324,53.98544234,29.187010086,23.374064851,12.59798432,27.9077306770001
MFGE8,36.2263374780001,41.378684831,17.911522647,57.968253987,27.928571424,26.884773692,11.259637201,33.52880663
MSLN,36.72989685,0,20.36494842,0,0,27.84123707,0,36.063917474
